stratum,pipeline_i,pipeline_j,n_paired,mean_delta,wilcoxon_p,cliffs_delta,cliffs_delta_magnitude,holm_p,holm_family_size,delta_ci_lo,delta_ci_hi,ci_excludes_zero,significant
1-hop,vanilla,agentic,100,0.22365000000000004,6.983370238530754e-10,0.3773,medium,1.676008857247381e-08,30,0.1632525355570907,0.2845406377033889,True,True
1-hop,vanilla,agentic-graph,100,0.20974066666666671,2.905012394835957e-10,0.3746,medium,7.262530987089893e-09,30,0.1592487548806258,0.2681494957307022,True,True
1-hop,vanilla,graphrag,100,0.011203000000000008,0.16586833949908963,0.0494,negligible,1.0,30,-0.0141929118529437,0.0325875167590946,False,False
1-hop,vanilla,adaptive,100,0.10502366666666668,6.851031228628388e-06,0.1601,small,0.00013702062457256775,30,0.0669096068540646,0.160522773267479,True,True
1-hop,agentic,agentic-graph,100,-0.013909333333333329,0.4538114555510996,-0.017,negligible,1.0,30,-0.0439728914208172,0.0142192256427859,False,False
1-hop,agentic,graphrag,100,-0.21244700000000002,4.241157271123567e-07,-0.3555,medium,8.906430269359491e-06,30,-0.2796309662962215,-0.1375253302164123,True,True
1-hop,agentic,adaptive,100,-0.11862633333333335,0.00021109757595687523,-0.2038,small,0.004010853943180629,30,-0.1786719612696578,-0.0686717974967638,True,True
1-hop,agentic-graph,graphrag,100,-0.1985376666666667,6.416090430445937e-08,-0.3532,medium,1.4115398946981062e-06,30,-0.2677865533808788,-0.140692526757967,True,True
1-hop,agentic-graph,adaptive,100,-0.10471700000000002,0.0012675618050404002,-0.1973,small,0.0228161124907272,30,-0.1632707700021905,-0.0580327253714749,True,True
1-hop,graphrag,adaptive,100,0.09382066666666666,0.0015949982037249703,0.1164,negligible,0.027114969463324496,30,0.0500298543548885,0.150201074365308,True,False
2-hop,vanilla,agentic,99,0.25915286195286197,1.4967742244265553e-11,0.48597081930415265,large,4.1909678283943544e-10,30,0.202832344664894,0.3226406974122051,True,True
2-hop,vanilla,agentic-graph,99,0.2682299663299663,3.0849415578596586e-11,0.5128048158351188,large,8.329342206221078e-10,30,0.2094500095295342,0.3272580916640527,True,True
2-hop,vanilla,graphrag,99,-0.018451178451178454,0.39967218538056193,-0.01652892561983471,negligible,1.0,30,-0.0538948772473478,0.0148917166284563,False,False
2-hop,vanilla,adaptive,99,0.1972787878787879,1.5303487433909973e-08,0.38791960004081216,medium,3.5198021097992937e-07,30,0.1463112414521607,0.2699486762848166,True,True
2-hop,agentic,agentic-graph,99,0.009077104377104375,0.80774355356075,0.017141108050198958,negligible,1.0,30,-0.0298229568683226,0.0454827546411224,False,False
2-hop,agentic,graphrag,99,-0.2776040404040404,6.453744852860666e-12,-0.5306601367207427,large,1.8715860073295933e-10,30,-0.3386858163829783,-0.2157678597849026,True,True
2-hop,agentic,adaptive,99,-0.061874074074074074,0.02821144037405962,-0.11539638812366085,negligible,0.3103258441146558,30,-0.1196508732979363,-0.0204095987843206,True,False
2-hop,agentic-graph,graphrag,99,-0.2866811447811448,6.932966778707089e-13,-0.5594327109478625,large,2.079890033612127e-11,30,-0.3470646635932002,-0.2294560661987257,True,True
2-hop,agentic-graph,adaptive,99,-0.07095117845117845,0.007229216471774831,-0.12937455361697786,negligible,0.0939798141330728,30,-0.1239431100149725,-0.0256758780713378,True,False
2-hop,graphrag,adaptive,99,0.21572996632996638,2.631341480786925e-10,0.43179267421691664,medium,6.841487850046006e-09,30,0.1665913194345556,0.2755053780175761,True,True
3+-hop,vanilla,agentic,97,-0.008937800687285221,0.7290722431220071,-0.15091933255393772,small,1.0,30,-0.0553366228039722,0.0360103446634048,False,False
3+-hop,vanilla,agentic-graph,97,-0.05661340206185567,0.012686802965489304,-0.20257200552662344,small,0.15224163558587164,30,-0.1026057850975692,-0.0150442735430977,True,False
3+-hop,vanilla,graphrag,97,-0.05867697594501718,0.0036634509103836204,-0.13465830587735148,negligible,0.05861521456613793,30,-0.0980851043659534,-0.028443906964657,True,False
3+-hop,vanilla,adaptive,97,-0.059380412371134006,0.0037438154131534456,-0.15442661281751516,small,0.05861521456613793,30,-0.1020328550319183,-0.0287269492231937,True,False
3+-hop,agentic,agentic-graph,97,-0.04767560137457045,0.005746736667247446,-0.07259007333404187,negligible,0.08045431334146425,30,-0.0832166101385445,-0.0103445081658163,True,False
3+-hop,agentic,graphrag,97,-0.04973917525773197,0.10074931327442757,-0.0185992135189712,negligible,0.9067438194698482,30,-0.095896665172345,-0.0053451063950265,True,False
3+-hop,agentic,adaptive,97,-0.05044261168384879,0.06166233700740324,-0.03507280263577426,negligible,0.6166233700740325,30,-0.0948409673861552,-0.0117372537912397,True,False
3+-hop,agentic-graph,graphrag,97,-0.0020635738831615165,0.7876945230988881,0.05547879689658837,negligible,1.0,30,-0.0480817068009099,0.0427595789717172,False,False
3+-hop,agentic-graph,adaptive,97,-0.0027670103092783485,0.8949926483709206,0.0387926453395685,negligible,1.0,30,-0.048034229093837,0.0380100047612625,False,False
3+-hop,graphrag,adaptive,97,-0.0007034364261168322,0.43105953024995247,-0.015410776915718993,negligible,1.0,30,-0.0119172737874116,0.012504095908567,False,False
